candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
13	OVA-C4-IPTM90-467	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1465890407562256	1.0722967386245728	1.2576907873153687	1.1522222757339478	1.104146122932434	0.1853940486907959
14	OVA-C4-IPTM90-072	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1235731840133667	1.1313999891281128	1.1386698484420776	1.0747416019439697	1.1494810581207275	0.07473945617675781
14	OVA-C4-IPTM90-072	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1156947612762451	1.170423150062561	1.0537734031677246	1.021041750907898	1.2175405025482178	0.19649875164031982
14	OVA-C4-IPTM90-072	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1283321380615234	1.1470614671707153	1.0503959655761719	1.1901289224624634	1.1257426738739014	0.1397329568862915
14	OVA-C4-IPTM90-072	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0964239835739136	0.936614990234375	1.2514240741729736	1.1220675706863403	1.0755892992019653	0.31480908393859863
15	OVA-C4-IPTM90-293	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.113071084022522	1.0699093341827393	1.0655920505523682	1.1366674900054932	1.1801153421401978	0.11452329158782959
15	OVA-C4-IPTM90-293	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.0947115421295166	1.1739381551742554	1.0600823163986206	0.9809725284576416	1.1638530492782593	0.19296562671661377
15	OVA-C4-IPTM90-293	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1218582391738892	1.154201865196228	0.9841668009757996	1.1811727285385132	1.167891263961792	0.19700592756271362
15	OVA-C4-IPTM90-293	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0695743560791016	0.9347661137580872	1.1861464977264404	1.0865540504455566	1.0708309412002563	0.25138038396835327
16	OVA-C4-IPTM90-010	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.134992003440857	1.1284399032592773	1.1629359722137451	1.0798319578170776	1.1687602996826172	0.08892834186553955
16	OVA-C4-IPTM90-010	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.121901512145996	1.1534597873687744	1.0758771896362305	1.026084065437317	1.2321853637695312	0.20610129833221436
16	OVA-C4-IPTM90-010	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1251537799835205	1.1203603744506836	1.0491524934768677	1.2045632600784302	1.1265392303466797	0.1554107666015625
16	OVA-C4-IPTM90-010	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1311062574386597	1.0457639694213867	1.2548202276229858	1.1535478830337524	1.0702929496765137	0.20905625820159912
17	OVA-C4-IPTM90-501	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.130263090133667	1.13877272605896	1.110854148864746	1.1071168184280396	1.1643085479736328	0.05719172954559326
17	OVA-C4-IPTM90-501	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1059781312942505	1.151214361190796	1.0369436740875244	1.022507905960083	1.2132467031478882	0.19073879718780518
