source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-21B__AF3	B-D	HydrogenBond	8	9
OVA-C4-IPTM80-21B__AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-21B__AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-21B__AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-21B__AF3	B-D	VdWContact	29	80
OVA-C4-IPTM80-21B__AF3	C-D	Hydrophobic	8	11
OVA-C4-IPTM80-21B__AF3	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-21B__AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-21B__AF3	C-D	PiStacking	0	0
OVA-C4-IPTM80-21B__AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-21B__AF3	C-D	VdWContact	10	19
OVA-C4-IPTM80-21B__Protenix	A-B	Hydrophobic	8	13
OVA-C4-IPTM80-21B__Protenix	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-21B__Protenix	A-B	SaltBridge	0	0
OVA-C4-IPTM80-21B__Protenix	A-B	PiStacking	0	0
OVA-C4-IPTM80-21B__Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-21B__Protenix	A-B	VdWContact	10	26
OVA-C4-IPTM80-21B__Protenix	A-C	Hydrophobic	1	23
OVA-C4-IPTM80-21B__Protenix	A-C	HydrogenBond	0	0
OVA-C4-IPTM80-21B__Protenix	A-C	SaltBridge	0	0
OVA-C4-IPTM80-21B__Protenix	A-C	PiStacking	1	1
OVA-C4-IPTM80-21B__Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-21B__Protenix	A-C	VdWContact	6	16
OVA-C4-IPTM80-21B__Protenix	A-D	Hydrophobic	10	22
OVA-C4-IPTM80-21B__Protenix	A-D	HydrogenBond	4	4
OVA-C4-IPTM80-21B__Protenix	A-D	SaltBridge	4	8
OVA-C4-IPTM80-21B__Protenix	A-D	PiStacking	0	0
OVA-C4-IPTM80-21B__Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-21B__Protenix	A-D	VdWContact	19	80
